Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,You enjoy participating in group activities.,You like books and movies that make you come up with your own interpretation of the ending.,Your happiness comes more from helping others accomplish things than your own accomplishments.,You are interested in so many things that you find it difficult to choose what to try next.,You are prone to worrying that things will take a turn for the worse.,You avoid leadership roles in group settings.,You are definitely not an artistic type of person.,You think the world would be a better place if people relied more on rationality and less on their feelings.,You prefer to do your chores before allowing yourself to relax.,You enjoy watching people argue.,You tend to avoid drawing attention to yourself.,Your mood can change very quickly.,You lose patience with people who are not as efficient as you.,You often end up doing things at the last possible moment.,"You have always been fascinated by the question of what, if anything, happens after death.",You usually prefer to be around others rather than on your own.,You become bored or lose interest when the discussion gets highly theoretical.,You find it easy to empathize with a person whose experiences are very different from yours.,You usually postpone finalizing decisions for as long as possible.,You rarely second-guess the choices that you have made.,"After a long and exhausting week, a lively social event is just what you need.",You enjoy going to art museums.,You often have a hard time understanding other people’s feelings.,You like to have a to-do list for each day.,You rarely feel insecure.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.","If your plans are interrupted, your top priority is to get back on track as soon as possible.",You are still bothered by mistakes that you made a long time ago.,You rarely contemplate the reasons for human existence or the meaning of life.,Your emotions control you more than you control them.,"You take great care not to make people look bad, even when it is completely their fault.",Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",You would love a job that requires you to work alone most of the time.,You believe that pondering abstract philosophical questions is a waste of time.,"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",You know at first glance how someone is feeling.,You often feel overwhelmed.,You complete things methodically without skipping over any steps.,You are very intrigued by things labeled as controversial.,You would pass along a good opportunity if you thought someone else needed it more.,You struggle with deadlines.,You feel confident that things will work out for you.
16876,0,0,-2,-2,1,3,2,0,0,1,-2,1,3,-1,0,1,3,3,0,-2,0,0,0,1,2,1,1,0,3,-1,-2,0,0,1,-1,-1,3,-2,-1,2,-2,-3,2,-2,-2,0,2,1,0,0,0,0,3,0,-1,0,0,-2,-1,-2
15704,0,0,1,0,1,1,-3,-1,3,-1,-1,-1,-2,-1,-1,-1,2,-3,3,1,0,1,0,0,3,2,1,0,0,1,-2,0,-2,0,-1,-1,-1,1,2,1,2,-2,0,0,0,0,3,0,-3,0,0,0,0,-1,1,0,0,1,-2,-1
50779,-1,0,3,1,-1,-1,2,0,0,0,0,1,3,-1,-2,-2,0,1,2,0,0,-1,0,0,0,-2,0,0,0,3,0,0,1,0,1,-2,2,0,-1,-2,-2,-2,3,-3,0,0,-2,0,-1,-1,0,0,1,0,3,0,0,-1,3,3
56561,0,0,0,-3,0,0,-1,0,-3,0,0,-1,-2,0,-3,-2,-1,-1,-2,0,0,-2,0,0,0,0,-2,0,0,1,-2,0,0,-1,0,3,2,2,1,0,2,-2,1,-2,-2,0,-2,0,-3,0,1,0,0,0,-2,0,0,-1,2,1
55118,0,1,2,0,-1,0,0,0,2,0,0,1,2,-2,2,-2,2,0,-1,2,-1,0,0,0,0,-2,3,1,-2,-2,3,0,1,0,-2,1,1,-1,1,-2,-2,0,1,1,-2,0,-3,0,-2,0,0,-1,-2,0,-2,0,0,2,-1,-1
23642,0,0,1,0,-3,-2,-1,0,-2,0,-1,-1,2,1,-1,-1,0,0,0,2,0,-1,0,0,-1,-2,-3,0,-3,1,1,0,3,0,-1,0,0,-2,-1,0,-1,-1,1,2,0,0,-2,0,0,0,0,0,-1,0,2,0,0,-1,0,-2
59784,0,0,0,-2,-2,0,0,1,1,0,1,1,-2,2,-1,-2,-2,-1,-1,0,0,-2,0,0,1,-1,-1,0,-1,1,-1,0,0,0,0,0,-1,0,1,-1,1,-1,0,-1,0,-1,-1,1,0,0,0,0,-2,-1,-2,0,0,-1,0,0
37730,0,0,-1,0,1,0,-3,0,0,0,0,-1,1,-1,-1,-2,2,0,0,-1,1,-2,0,0,-1,3,0,0,2,0,1,0,0,0,-3,0,-1,-3,0,1,-2,-2,0,-1,1,0,3,-1,0,0,0,0,0,0,1,0,0,-1,-2,0
53815,0,0,-2,1,-2,-3,-1,1,1,0,-2,1,0,2,0,-2,3,-1,3,0,0,-1,0,0,0,2,1,0,-2,0,1,0,-1,0,2,0,3,0,1,1,0,-1,-1,2,0,0,0,0,-1,-1,0,0,2,0,2,0,0,1,0,-1
10616,0,1,0,0,-2,3,1,0,-1,0,1,1,0,3,2,1,-2,-2,0,-2,0,-1,0,0,3,0,0,0,1,2,1,0,1,0,1,0,-2,1,1,-1,0,-2,2,-1,-2,-1,-2,0,-3,0,0,0,-1,0,-3,0,1,2,0,-1
6454,0,-1,-1,-1,-1,1,1,0,2,0,-2,0,1,-1,-1,-1,0,-2,1,0,0,-1,0,0,-3,0,2,0,2,3,-2,0,-1,-1,1,-1,0,2,1,-2,2,-1,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,2
41618,0,0,-1,0,-2,0,2,0,-2,0,2,3,-2,1,0,-2,0,-1,-2,-2,0,-1,1,0,0,-2,-2,0,-2,-1,-2,0,-1,0,2,2,-1,2,2,0,0,2,1,0,-1,0,-1,0,-2,0,-1,0,-3,0,-1,0,0,-1,2,0
16873,0,1,-2,2,-2,-1,-2,0,0,0,-3,1,-2,1,1,-3,1,2,3,-1,0,0,0,0,-1,2,1,0,1,1,1,0,2,0,0,1,1,0,-2,1,0,-2,-3,-1,1,0,-1,0,1,0,0,1,1,-1,0,0,0,2,-2,-1
9839,0,0,-2,0,2,1,0,0,-3,0,0,-2,0,0,-1,-3,1,-2,0,-1,0,-1,0,0,-2,3,-1,0,0,0,1,0,-1,0,0,-1,-1,-1,2,-1,-2,-2,2,-1,2,1,3,0,-1,0,0,1,1,-1,1,0,1,0,-1,-2
44155,0,0,0,-2,-2,0,-1,0,3,0,0,1,0,-2,-1,0,-1,-3,-1,-1,1,2,0,0,-1,-1,0,0,1,-2,0,-1,0,0,-2,0,0,2,1,0,-1,3,2,0,1,0,0,0,0,1,0,0,-1,1,2,0,0,2,-1,1
20984,0,0,0,0,0,1,-3,0,-1,0,-1,-1,2,-1,-1,-1,1,0,-1,-3,0,-1,0,0,-1,2,-1,0,0,1,-1,0,1,0,0,0,1,-1,1,-1,0,-2,1,-2,1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,-1,-1
746,0,1,2,0,0,0,-2,0,1,1,0,1,-1,0,-2,1,-2,2,2,-3,0,1,0,0,-1,-1,0,0,-3,1,0,0,1,0,1,-1,0,3,-1,3,1,-1,1,0,-1,0,0,0,-2,0,0,0,3,0,1,0,0,1,1,-1
51411,0,0,-1,-1,-3,-2,-2,0,-2,0,-1,2,2,-1,1,1,3,3,1,-1,0,0,0,0,-1,0,-2,0,0,-3,-1,0,1,0,-1,-1,-2,-1,-2,-1,-2,2,0,1,0,0,1,0,1,0,0,0,-2,0,-1,0,0,-1,1,2
7347,0,0,-2,0,1,1,-1,-1,2,0,-1,0,1,-1,0,0,1,1,1,-1,0,-1,0,0,-1,1,1,0,1,-1,1,0,0,0,-2,0,0,0,1,0,1,-2,1,2,-1,1,2,1,2,0,-1,0,0,0,1,0,0,0,-1,-3
32398,0,0,0,-1,-2,3,-2,0,-1,1,1,1,1,-1,-3,0,1,-1,-2,1,0,1,0,0,1,-2,3,0,-2,-1,-1,0,-1,0,-1,1,-1,-2,-1,-1,-1,-1,-1,-2,-2,0,2,0,1,0,0,0,1,0,-1,0,0,1,1,2
9213,0,0,-1,-2,1,-1,0,0,-1,1,0,0,-2,1,-1,0,2,-1,-1,0,0,-2,0,0,-2,1,0,1,-2,-2,-1,0,2,0,3,-2,0,-2,0,1,2,-1,1,-3,1,0,-2,0,2,0,0,0,0,0,0,-1,0,0,0,1
2702,0,0,-2,-3,-1,2,-2,0,0,-1,-2,2,0,0,1,0,2,-2,-2,0,0,0,0,0,2,-1,1,0,1,0,-2,0,1,0,-1,0,-1,2,1,1,1,-2,2,0,0,-1,1,0,-1,0,0,1,0,0,2,0,0,1,1,-1
24800,0,0,-1,1,-2,0,1,0,0,0,-1,1,-1,1,0,0,-1,-2,2,-1,0,0,0,0,1,-1,0,0,1,1,-1,0,0,0,-1,1,2,-1,0,1,-3,0,-3,2,3,0,-2,0,-2,0,0,0,2,0,0,0,0,0,0,-1
44476,0,0,-2,-2,1,2,-1,0,1,0,-2,1,0,-1,2,2,2,-2,2,2,-1,0,0,0,-2,2,0,1,-1,3,-1,0,1,0,-1,-1,-1,0,2,2,-1,0,2,-3,1,0,-1,0,-2,0,0,0,2,0,1,0,0,1,0,0
7978,0,0,1,-2,-1,0,1,0,0,0,0,1,-3,1,3,1,0,-1,0,0,0,2,-1,0,1,-2,-1,0,2,-2,-2,0,2,0,-2,-1,-1,-1,-2,-2,-2,3,0,0,-1,0,2,0,0,0,0,0,2,0,-1,0,0,-2,2,2
58573,0,0,0,2,-2,2,-1,0,2,0,1,0,-2,0,-1,0,-3,1,-1,1,0,1,0,0,-2,2,-2,0,1,1,0,0,-1,0,1,-2,-1,0,1,0,1,1,1,0,-3,0,-2,0,1,0,0,0,1,0,1,0,0,2,2,2
38473,0,0,2,0,1,-2,0,0,3,0,1,1,0,0,1,-1,0,1,0,2,-1,-3,0,0,0,1,0,0,0,-3,-2,0,2,0,3,-1,2,1,0,-1,-1,0,-2,1,0,0,1,0,-2,0,0,0,-3,0,1,0,0,-2,-2,2
23036,0,0,2,1,-1,0,-2,0,0,0,1,0,0,2,1,0,2,-2,-3,-2,0,-1,0,-1,-1,0,1,0,1,0,0,0,-1,0,2,0,2,-2,0,0,2,-1,-2,2,-1,0,2,0,-3,0,0,0,2,0,2,0,0,-1,-1,1
36631,0,0,0,0,-1,0,2,0,2,-1,1,0,1,-1,-1,-3,0,1,0,-2,0,2,0,0,0,-1,1,1,1,2,0,0,0,1,-3,-2,2,0,-2,1,2,-2,0,0,2,0,-1,0,-1,0,0,0,1,0,1,1,1,-2,-1,0
23378,0,0,2,0,-2,3,-3,0,3,0,-2,0,-1,-1,1,1,-1,1,-1,2,0,1,0,0,-1,-2,3,0,3,0,-1,-1,0,0,0,0,0,1,-2,-2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,-1
16950,1,0,-1,-1,-1,-3,-2,0,1,0,1,1,-1,-2,-1,3,-1,0,-2,-3,0,2,0,0,-2,3,2,0,2,1,0,0,-1,0,1,-2,0,-1,1,1,-1,3,1,0,-3,1,-1,0,1,0,0,0,1,0,3,0,0,0,0,2
29447,0,0,-1,2,3,-1,-1,0,-2,0,2,2,0,1,-2,-1,-1,3,0,-3,0,-1,0,0,-2,3,1,0,0,2,-2,0,-3,0,2,0,1,-2,3,-2,-1,-1,-3,3,-1,0,1,0,1,0,0,0,1,0,1,0,0,-1,2,3
6041,-1,0,0,1,1,-1,1,0,1,0,1,-1,0,-1,2,1,1,0,0,2,0,2,0,0,2,-1,0,0,-1,1,-1,0,1,0,-2,0,0,0,1,0,0,-1,0,-3,1,0,-1,0,2,0,0,0,0,0,1,0,0,1,-2,-2
40128,-1,0,2,1,1,-3,0,0,-1,0,1,1,1,1,0,1,1,-1,-2,-1,0,2,1,0,-1,-3,1,-1,1,0,2,-1,1,0,2,0,2,-3,3,1,2,-1,3,3,1,0,1,0,0,0,0,0,1,-1,0,0,0,3,2,1
27814,0,0,-1,0,-1,-1,1,0,1,0,-2,-2,1,-1,0,-1,-1,0,0,1,0,2,0,0,2,0,-3,0,2,0,0,0,-1,0,3,1,-1,0,1,1,-1,-2,-1,-2,1,0,-2,0,0,-1,0,0,1,0,2,0,0,-1,3,2
23077,0,0,-2,-2,2,-3,-2,1,1,-1,-3,0,1,-1,2,1,-1,-2,0,-2,0,3,0,0,-3,2,2,0,1,2,-1,0,-2,0,1,-3,0,0,2,0,1,3,-1,0,-2,0,0,0,1,0,0,0,1,0,-1,-1,0,2,-1,-2
36503,0,0,0,1,1,-1,-2,-1,0,0,1,2,1,-2,1,1,2,1,-2,3,0,1,0,0,0,-2,1,0,2,0,2,0,2,0,0,1,-1,-3,-1,0,2,0,-1,1,-2,0,-1,0,0,0,0,0,-1,0,0,0,0,-2,0,1
48456,0,-1,0,-2,3,1,-2,-1,3,0,1,-2,-2,2,1,-3,1,-2,1,-1,0,-1,0,0,0,-3,-1,-1,-2,1,1,0,1,0,1,0,-1,2,0,0,3,1,1,2,2,0,2,0,-1,0,1,0,3,0,2,0,0,1,1,-2
16689,0,0,0,0,-2,-2,-1,1,2,0,1,0,0,-2,-1,1,-1,-1,-2,-2,0,3,0,0,0,2,-1,0,3,-1,0,-1,-1,0,1,0,-1,0,-1,-1,-2,2,-1,2,-2,0,-1,0,1,0,0,0,1,0,2,1,0,0,-2,2
3213,0,0,3,-1,-1,0,-3,0,0,0,2,2,0,2,0,-1,1,2,-1,1,0,0,0,1,-2,1,-1,0,1,1,2,-1,-1,0,2,2,-2,1,2,-2,-2,0,-1,2,-1,0,0,0,2,0,0,0,2,0,3,-1,0,1,-2,1
50607,0,0,0,0,1,0,1,0,-1,0,-2,-1,0,0,-1,-3,-1,-2,1,-1,0,3,0,0,1,-1,1,0,-2,-1,0,0,0,1,-1,-1,-2,1,-1,1,-1,-2,-2,-1,-3,0,-3,0,-2,0,0,-1,0,0,-2,0,-1,-3,2,1
51688,0,0,2,0,2,2,-1,0,0,1,0,0,-2,1,2,0,-1,-2,-2,-2,0,3,1,0,-3,-2,3,0,-1,2,-1,0,2,0,1,0,0,1,-3,2,0,0,-1,1,-1,0,1,0,-2,0,0,0,2,0,0,0,1,1,1,-2
14109,0,0,2,0,-1,-2,0,1,1,-1,-3,-1,3,1,0,-1,-1,1,1,2,0,0,0,0,0,-1,-2,0,0,-1,-2,-1,0,0,0,1,0,-3,1,-1,-2,1,2,0,1,0,1,0,2,0,0,-1,-1,-1,0,0,0,-2,0,2
34333,0,0,2,0,-2,1,-2,0,2,0,0,3,2,-1,-1,2,0,2,0,1,0,2,0,0,-2,-2,3,0,3,0,-1,-1,-1,0,0,-1,0,-2,0,0,0,2,-2,1,-2,0,0,0,1,1,0,0,0,0,-2,0,-1,1,1,3
39233,0,0,0,-2,1,-1,-1,0,2,0,0,0,3,-2,0,-2,0,2,3,-1,0,-1,0,0,-3,0,3,0,3,1,2,0,3,0,-1,-1,2,0,1,-2,2,1,-2,1,-1,0,1,0,0,0,0,0,-1,0,0,0,0,1,1,2
54822,0,1,-2,-1,1,0,-2,0,-2,0,2,-1,0,0,0,0,-2,-1,-2,1,0,2,0,1,0,-1,2,0,1,-2,-2,0,0,0,3,-2,1,2,-1,-3,-2,3,-2,3,1,1,-1,0,3,0,0,0,0,-1,3,0,0,1,-3,0
53332,0,0,1,-3,2,0,-2,0,1,-1,1,-2,0,-2,-1,-1,2,3,-1,-2,0,-1,1,0,-1,1,-1,0,1,1,2,0,2,0,1,1,-1,-2,0,-2,0,-2,-1,-1,-2,0,-1,0,0,0,0,1,1,0,-1,0,0,3,-1,-1
37521,0,0,2,-1,-3,2,1,0,0,0,-2,-2,1,-1,1,1,1,1,1,2,0,3,0,0,-1,-1,0,-1,-3,-2,2,-1,0,0,1,1,-1,-1,0,0,-2,0,1,1,1,0,-1,0,-2,0,0,0,-2,0,-1,0,0,2,0,-2
11642,0,0,2,0,0,0,2,0,0,0,2,2,-2,1,0,1,0,0,-2,0,0,0,-1,0,1,-1,-1,0,-2,-2,-2,0,-2,-1,-1,0,2,1,0,-1,3,1,-1,1,-1,0,-2,-1,-1,0,0,0,2,0,3,0,0,1,1,0
58071,0,-1,-1,1,2,-1,-2,1,-1,0,1,1,-1,1,-1,-1,1,0,-2,-1,0,0,0,0,-2,0,-2,0,1,1,3,0,-2,0,0,1,0,2,1,0,-2,1,0,0,-2,0,0,0,3,1,0,-1,3,0,0,0,0,1,2,1
12026,0,1,0,0,0,3,0,1,0,0,-2,2,0,1,2,0,-1,1,1,2,0,0,0,0,1,-2,-3,0,0,0,-3,0,1,0,1,1,2,-1,0,-1,1,1,-1,-1,2,0,3,0,2,0,0,0,0,0,2,0,0,0,0,1
40515,0,0,-2,-1,-2,0,-1,0,-1,0,0,1,-2,-1,-3,2,-2,-3,-1,0,1,1,0,0,1,-1,-2,0,2,-2,-3,0,-1,0,0,0,-1,0,1,3,0,0,-2,-1,0,0,2,0,2,0,0,0,-3,0,0,1,0,-1,1,1
49660,0,0,2,1,2,-2,1,0,1,0,1,1,1,1,-1,-3,0,-1,-2,1,0,-1,0,0,0,3,0,-1,1,2,0,0,1,1,0,-1,1,2,1,1,-2,1,0,1,2,0,1,0,-2,1,0,0,0,0,2,0,0,2,-2,1
37106,0,0,2,1,0,1,0,0,-3,0,0,1,1,0,-2,1,0,2,0,0,0,1,0,0,0,3,1,0,-2,0,1,0,-3,1,1,-3,-2,0,0,-2,1,1,0,1,-1,0,-1,-1,1,0,0,0,0,0,1,0,0,-1,0,-3
20402,0,0,-1,-2,1,-2,-3,0,0,0,1,0,1,2,-2,-1,0,-3,0,2,0,2,1,0,-2,-2,-1,0,-3,0,1,0,2,0,3,-1,-1,0,2,-1,-1,2,3,1,2,0,0,-1,-3,0,0,0,-1,0,3,0,0,-2,1,-2
16787,0,0,0,-2,-2,1,0,0,-1,0,0,1,0,2,0,2,2,2,0,1,0,2,0,0,1,-1,-1,0,-1,1,0,0,-2,1,-2,2,0,1,-2,1,2,-1,-2,-1,-2,0,1,0,-1,-1,0,0,0,0,2,0,0,2,2,1
9561,0,0,-1,1,-1,-2,-2,1,2,0,-2,1,1,2,1,2,-2,-2,0,1,0,-1,0,0,-1,-1,0,0,2,1,-3,0,0,0,0,0,-2,2,1,1,-1,1,3,-2,-2,0,-2,0,1,0,1,-1,1,0,-1,0,-1,2,-2,1
9131,0,0,1,1,0,-3,1,0,2,0,-2,-2,2,-1,0,-1,0,1,0,2,0,1,0,0,2,-1,-2,0,1,2,-2,0,-2,0,1,0,3,-2,2,0,-2,-3,0,-1,0,0,-2,0,2,0,0,0,2,0,2,0,0,1,2,3
2649,0,0,2,-2,1,3,0,-1,2,0,0,0,-1,-1,2,-2,-1,-3,2,0,0,-2,0,0,0,-2,-2,1,0,2,0,0,3,0,1,-2,0,1,0,3,2,-1,1,2,0,0,0,0,-2,0,0,0,1,0,0,0,0,2,1,-3
12742,0,0,-2,-1,2,1,-2,0,1,0,-2,-2,3,-2,-2,-1,1,0,2,-2,0,-3,1,0,-2,1,3,0,1,-1,3,-1,0,0,-1,-1,2,0,1,-1,2,-2,0,1,-2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,-1
4118,1,0,-3,0,0,-1,-1,0,2,1,-1,0,-1,3,0,0,2,0,2,-1,-1,1,0,0,1,0,0,0,1,1,0,0,-1,0,0,1,1,1,-1,0,-1,-1,-2,-1,2,0,-2,0,0,0,0,0,1,0,0,1,0,1,0,-1
49601,0,0,-2,-1,-2,0,-1,1,1,0,-2,-2,2,-1,0,2,-2,1,1,0,0,2,0,0,-1,1,1,0,1,0,-1,1,1,-1,2,-1,0,0,1,-1,-1,1,-2,2,1,0,-2,0,0,0,0,0,1,1,2,0,0,1,-3,0
30317,-1,0,3,-2,-1,-3,2,0,1,0,3,-1,1,-2,0,1,1,2,0,-2,0,2,0,0,-2,-2,-1,0,1,-1,-2,0,-1,0,-2,-1,2,2,2,0,2,-3,-1,-3,1,0,0,0,-2,0,0,0,1,0,1,0,0,-1,2,-1
25952,-1,0,1,-2,2,1,-1,0,-1,0,-2,-1,2,1,-2,0,0,-2,0,0,0,-1,0,0,-1,-1,-2,0,3,2,1,0,2,0,-2,-2,-2,-2,0,0,-3,-1,-1,0,2,0,3,0,0,0,0,0,-3,0,-1,-1,0,0,-3,0
44880,0,0,1,0,-2,0,1,0,2,0,-2,1,-1,-3,-2,0,1,-1,0,-1,0,1,0,0,0,-1,-2,0,-1,-1,2,0,-2,0,-2,-2,1,0,-1,-2,-3,-2,-2,1,0,0,-2,0,3,-1,0,0,1,0,-2,-1,1,-2,2,1
9740,-1,0,0,1,0,0,0,0,-3,0,-2,-2,-1,2,0,3,-1,0,-2,0,0,-2,0,0,-3,-2,-1,0,-1,0,-1,0,0,1,1,2,0,0,0,0,-3,-3,2,1,1,0,-2,0,1,0,0,0,-3,0,-1,1,0,-1,-2,0
22134,0,-1,0,1,1,0,-2,0,0,0,0,2,-1,2,-1,0,0,-3,0,0,0,1,0,0,2,2,0,0,-1,-1,-1,0,-1,0,3,2,2,-2,0,2,-2,-3,1,1,1,0,-3,0,-1,0,0,0,1,0,1,0,0,3,-3,-1
5799,0,0,0,1,-2,-2,-2,0,2,-1,2,0,-3,2,0,0,1,-1,-1,-1,0,2,0,0,-2,2,0,0,-1,0,-2,0,2,0,-2,3,-1,0,-1,-2,-1,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,-1,0
47275,0,0,-3,0,2,0,2,1,-1,0,-1,-2,1,-2,-1,-1,1,0,2,-3,1,1,1,0,0,1,1,0,2,-3,1,0,0,0,-1,1,1,2,1,-2,-1,-3,0,1,-2,0,0,0,0,0,0,0,-3,0,2,0,1,0,1,0
37915,0,0,1,-2,1,3,0,0,-2,0,1,2,2,1,-1,-3,-1,1,2,-1,0,3,-1,1,1,0,1,0,-1,-1,2,0,0,0,1,-3,-1,-1,2,-1,3,2,1,1,-2,0,-2,0,3,0,0,0,1,0,1,0,0,2,1,-2
40954,0,0,-1,3,-1,-2,-1,0,2,0,1,-2,1,0,0,0,2,1,2,-2,0,1,0,0,0,-1,2,-1,0,-1,-1,0,-2,0,-2,2,1,-2,1,-1,-1,0,-2,0,2,0,0,0,-1,0,0,0,2,1,0,0,0,3,-3,0
41361,0,0,0,0,3,-2,-1,0,0,0,0,-2,3,0,1,0,1,-1,1,0,0,0,0,0,-1,0,1,0,0,1,1,0,-1,0,1,-1,2,-1,0,-2,2,-1,2,1,-2,0,2,0,-2,0,0,0,2,0,0,0,1,1,-2,2
26233,0,0,1,2,2,-2,-3,0,0,0,0,0,-1,-2,0,-2,0,-1,0,-1,-1,1,-1,0,2,3,-2,0,-2,2,2,0,0,-1,-1,-1,2,0,-1,1,2,1,1,0,0,0,2,0,-3,0,0,0,0,0,-1,0,0,-1,0,-2
57220,-1,0,0,-2,-1,1,0,0,1,0,-2,0,-3,-1,-1,-1,1,3,-2,-2,0,1,0,0,0,0,-2,0,0,-2,-2,1,2,0,-1,-1,-1,1,-1,0,-1,2,-1,2,-1,0,-1,0,0,0,1,0,0,0,1,0,1,-2,1,2
15769,0,0,0,3,-1,1,1,0,2,0,0,0,1,-1,-3,0,-3,3,0,-1,0,3,0,0,0,2,-2,0,-2,0,1,0,2,0,3,-1,2,-2,2,-2,1,-3,2,-2,-1,0,-1,0,2,0,0,-1,2,0,1,0,0,-2,0,-2
29604,0,0,-2,2,0,0,0,-1,0,0,0,1,-3,1,0,-1,0,-2,-1,0,0,-1,0,-1,1,-1,-1,0,-1,-2,-2,0,1,0,-1,2,0,2,1,1,2,0,-1,-1,-2,0,-2,0,-1,0,0,0,-2,0,-1,0,1,0,0,3
54782,-1,0,2,1,-2,-2,1,0,1,0,-1,-2,2,-1,0,1,-2,1,2,1,0,1,0,1,0,0,-3,0,-1,0,1,0,1,-1,2,2,0,-1,0,-1,-3,0,2,-3,0,0,1,0,1,0,1,0,0,0,1,0,0,-1,1,0
1680,0,0,0,-1,-1,0,-1,0,0,0,0,3,-3,-1,2,3,-2,-1,-1,2,0,2,0,0,0,-2,0,-1,0,-1,-1,0,1,-1,-2,-1,0,1,1,-2,0,2,-1,1,3,0,1,0,1,0,0,0,0,0,0,0,-1,2,-1,0
51216,-1,0,-1,2,-1,-1,-1,0,1,0,0,1,1,1,-2,1,-1,0,1,2,1,-2,0,0,0,3,1,0,1,0,1,0,-2,-1,2,-1,-2,3,1,1,1,1,2,-2,-2,0,0,0,0,0,0,0,-1,0,-3,0,0,1,-1,-1
10803,0,1,-2,-3,-2,1,1,0,0,0,2,0,-3,2,1,1,2,2,-2,3,-1,0,0,0,1,0,-1,0,-2,0,-2,0,-3,0,-2,1,2,3,-1,0,-2,-1,-2,-2,0,0,0,0,-2,0,0,0,-1,1,3,0,0,1,2,1
23289,0,0,-1,1,0,-1,-1,0,-1,0,1,1,-2,2,-2,-2,1,2,-2,0,0,1,0,0,-2,-1,1,0,0,-1,1,0,0,0,1,0,-2,0,2,-2,0,-1,-2,1,-1,-1,1,0,2,0,0,0,2,0,1,0,0,1,1,2
50400,1,1,0,-2,-1,-2,1,0,0,0,-1,-1,2,1,1,0,0,-2,3,2,0,2,0,0,-1,0,-1,0,0,0,-2,1,-1,0,-2,1,0,2,2,-1,-2,0,0,1,0,0,2,0,-2,0,0,0,1,0,-2,0,0,-2,0,1
25461,-1,0,-1,-1,1,2,0,0,0,0,-2,0,-2,1,2,-2,-2,-1,1,2,0,0,0,0,2,1,-1,0,0,-1,-1,0,-1,0,-1,1,2,3,1,1,2,3,-1,-1,1,0,3,0,1,-1,0,1,-1,0,0,0,0,1,-1,3
55469,0,0,3,3,1,-3,0,0,-2,0,2,1,-2,1,2,-1,-2,-2,0,0,0,3,0,1,0,0,-1,0,1,-2,3,-1,-1,0,-1,2,-2,0,1,-3,-1,0,0,2,1,0,-2,0,-1,0,0,-1,2,0,2,0,0,3,3,2
49589,0,0,2,2,1,0,-1,0,1,-1,1,-2,3,0,3,0,1,-3,-1,0,0,1,0,0,-1,-2,0,0,3,0,0,-1,-2,0,0,-3,-2,0,2,-1,3,0,1,1,-2,0,2,0,-1,0,0,0,0,0,1,0,0,3,-1,0
48263,0,0,1,0,-2,-1,-1,0,-3,0,0,0,-3,1,0,1,-2,1,1,2,0,0,-1,0,1,-1,-1,0,1,2,-1,0,1,0,-1,0,2,-1,-1,-1,3,-1,-3,1,-1,0,0,0,-2,0,0,0,1,0,0,0,0,0,-1,-2
16016,1,0,1,3,1,-1,-2,1,-3,0,-2,0,0,0,2,-1,-1,1,0,1,-1,-3,0,0,-2,-3,2,0,1,1,-1,0,-2,0,0,0,0,0,1,-2,1,-2,1,1,2,1,0,0,0,0,0,0,-2,0,-1,0,0,2,1,3
47606,0,0,2,-1,-1,0,2,0,-1,0,1,1,0,2,2,0,-1,0,1,0,0,1,0,0,3,1,3,0,0,-2,1,0,0,0,1,-1,-1,-2,1,-1,2,3,1,2,0,0,1,0,1,0,0,0,1,0,-2,0,-1,1,1,0
39252,0,0,1,0,-2,-1,3,0,2,0,-2,0,2,1,-2,-1,-2,-1,0,1,0,1,0,0,2,-1,-1,-1,1,1,-2,0,-3,0,-2,-2,-1,1,0,-2,0,-3,2,1,0,0,-2,0,1,0,1,-1,2,0,2,0,0,-3,-1,3
39136,0,-1,-2,0,0,3,-2,0,1,0,-1,1,0,0,0,-1,0,0,2,2,0,1,0,0,3,-1,-2,0,-1,-1,-2,0,-2,-1,-2,-1,1,-1,3,-2,2,3,-1,-2,0,0,0,0,1,0,0,0,-3,0,2,0,0,-2,1,1
